ticker,date,comp,trend,entry,stop,target,exit,outcome,pnl_pct
SISE,2024-07-04,7,strong_up,49.6756,47.6706,53.6856,47.6706,stop,-4.036
SISE,2024-11-08,5,up,38.9271,37.3121,42.1571,39.2757,timeout,0.896
SISE,2024-11-13,5,up,39.2369,37.6637,42.3834,37.6637,stop,-4.01
SISE,2024-11-22,5,up,39.6824,38.0769,42.8932,41.7159,timeout,5.124
SISE,2024-11-25,5,up,39.663,38.0747,42.8396,40.4764,timeout,2.051
SISE,2024-11-29,5,up,39.1014,37.6272,42.0498,42.0498,target,7.54
SISE,2024-12-20,5,up,42.4518,40.9132,45.5289,40.9132,stop,-3.624
SISE,2025-03-06,5,up,37.92,36.4906,40.7787,36.4906,stop,-3.77
SISE,2025-03-20,5,up,36.6805,34.8156,40.4104,34.8156,stop,-5.084
SISE,2025-05-12,5,up,36.4094,34.9731,39.282,34.9731,stop,-3.945
SISE,2025-06-26,5,up,34.0969,32.9107,36.4691,36.4691,target,6.957
TAVHL,2024-06-06,5,strong_up,241.8871,228.6293,268.4027,256.7878,timeout,6.16
TAVHL,2024-06-07,6,strong_up,245.3639,231.9409,272.21,231.9409,stop,-5.471
TAVHL,2024-06-11,5,strong_up,236.3242,222.7425,263.4876,255.2977,timeout,8.029
TAVHL,2024-06-12,5,strong_up,243.3772,229.7757,270.58,270.58,target,11.177
TAVHL,2024-07-09,5,strong_up,267.2182,254.7198,292.215,292.215,target,9.354
TAVHL,2024-07-22,7,strong_up,280.1321,267.0716,306.2532,267.0716,stop,-4.662
TAVHL,2024-07-24,5,strong_up,263.7414,250.1043,291.0156,250.1043,stop,-5.171
TAVHL,2024-09-04,7,strong_up,256.5394,245.3856,278.8469,245.3856,stop,-4.348
TAVHL,2024-11-07,6,strong_up,237.4169,225.4383,261.3742,261.3742,target,10.091
TAVHL,2024-11-19,5,strong_up,256.2911,245.188,278.4973,278.4973,target,8.664
TAVHL,2024-11-25,5,strong_up,274.9169,263.0773,298.596,286.0923,timeout,4.065
TAVHL,2024-11-28,5,strong_up,278.1453,266.7103,301.0153,266.7103,stop,-4.111
TAVHL,2024-12-19,5,strong_up,282.3672,272.5833,301.9349,272.5833,stop,-3.465
TAVHL,2024-12-30,6,strong_up,271.6884,261.6164,291.8324,277.897,timeout,2.285
TAVHL,2024-12-31,6,strong_up,272.6818,262.3713,293.3027,283.3606,timeout,3.916
TAVHL,2025-01-02,5,strong_up,277.152,266.8861,297.6836,266.8861,stop,-3.704
TAVHL,2025-01-06,6,strong_up,270.695,260.1081,291.8688,276.1586,timeout,2.018
TAVHL,2025-01-07,6,strong_up,274.9168,264.2879,296.1747,264.2879,stop,-3.866
TAVHL,2025-01-15,5,strong_up,272.9301,261.593,295.6044,266.9698,timeout,-2.184
TAVHL,2025-01-16,5,strong_up,276.1586,265.2055,298.0647,265.2055,stop,-3.966
TAVHL,2025-03-17,6,strong_up,264.7348,253.2222,287.7598,253.2222,stop,-4.349
TAVHL,2025-05-12,5,up,242.3838,230.7161,265.7191,230.7161,stop,-4.814
TAVHL,2025-06-10,5,up,241.3904,231.1317,261.9079,231.1317,stop,-4.25
TAVHL,2025-06-13,5,up,241.6884,230.846,263.3734,230.846,stop,-4.486
